High,Low,Open,Close,Volume,actual
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1847
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1864.780029,1833.400024,1833.400024,1864.780029,4696920000,1833.400024
1895.77002,1871.439941,1871.439941,1895.579956,4570670000,1833.400024
1930.680054,1898.800049,1898.800049,1926.819946,5011540000,1871.439941
1930,1915.089966,1927.569946,1917.829956,4436490000,1898.800049
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1927.569946
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1916.73999
1918.780029,1902.170044,1916.73999,1917.780029,4142850000,1916.73999
1946.699951,1924.439941,1924.439941,1945.5,4054710000,1916.73999
1942.380005,1919.439941,1942.380005,1921.27002,3890650000,1924.439941
1932.079956,1891,1917.560059,1929.800049,4317250000,1942.380005
1951.829956,1925.410034,1931.869995,1951.699951,4118210000,1917.560059
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1931.869995
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1954.949951
1962.959961,1945.780029,1954.949951,1948.050049,4348510000,1954.949951
1958.27002,1931.810059,1947.130005,1932.22998,4588180000,1954.949951
1978.349976,1937.089966,1937.089966,1978.349976,4819750000,1947.130005
1986.51001,1968.800049,1976.599976,1986.449951,4666610000,1937.089966
1993.689941,1977.369995,1985.599976,1993.400024,5081700000,1976.599976
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1985.599976
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1994.01001
2009.130005,1986.77002,1994.01001,1999.98999,6049930000,1994.01001
2006.119995,1989.380005,1996.109985,2001.76001,4968180000,1994.01001
1996.880005,1977.430054,1996.880005,1979.26001,4641650000,1996.109985
1992.689941,1979.839966,1981.439941,1989.26001,4038120000,1996.880005
2005.079956,1969.25,1990.969971,1989.569946,4376790000,1981.439941
